name,genre,type,episodes,rating,members,synopsis
Attack on Titan,"Action, Drama, Fantasy, Military",TV,25,9.1,1100000,Humans fight for survival against gigantic Titans while uncovering the secrets behind their world.
Death Note,"Mystery, Psychological, Supernatural, Thriller",TV,37,8.62,1200000,A brilliant student discovers a supernatural notebook that can kill anyone whose name is written in it.
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy",TV,64,9.1,1800000,Two brothers use alchemy to restore their bodies after a failed attempt to bring their mother back to life.
Naruto,"Action, Adventure, Fantasy, Martial Arts",TV,220,8.0,1500000,A young ninja seeks recognition and dreams of becoming the strongest leader of his village.
Naruto: Shippuden,"Action, Adventure, Fantasy, Martial Arts",TV,500,8.25,1400000,Naruto returns older and stronger as he faces dangerous enemies and protects his friends and village.
One Piece,"Action, Adventure, Comedy, Fantasy, Shounen",TV,1100,9.0,1900000,A young pirate sails across a vast world searching for the legendary One Piece treasure.
Bleach,"Action, Adventure, Supernatural, Shounen",TV,366,8.1,1200000,A teenager gains the powers of a Soul Reaper and protects humans from dangerous supernatural spirits.
Dragon Ball Z,"Action, Adventure, Martial Arts, Super Power",TV,291,8.15,1000000,Warriors with extraordinary powers defend Earth from increasingly powerful enemies.
Jujutsu Kaisen,"Action, Dark Fantasy, Supernatural, Shounen",TV,47,8.8,1700000,A student joins a secret organization of sorcerers fighting cursed supernatural creatures.
Demon Slayer,"Action, Historical, Supernatural, Shounen",TV,55,8.7,1600000,A kind-hearted boy becomes a demon slayer after his family is attacked and his sister is transformed.
My Hero Academia,"Action, School, Superhero, Shounen",TV,159,8.0,1500000,A powerless boy enters a hero academy after inheriting a legendary superpower.
Hunter x Hunter,"Action, Adventure, Fantasy, Shounen",TV,148,9.0,1300000,A young boy becomes a Hunter and travels the world searching for his missing father.
Code Geass,"Action, Drama, Mecha, Military, Psychological",TV,50,8.7,1300000,An exiled prince gains a mysterious power and leads a rebellion against an empire.
Steins;Gate,"Drama, Psychological, Sci-Fi, Thriller, Time Travel",TV,24,9.05,1000000,A group of friends discovers a way to send messages into the past with dangerous consequences.
Cowboy Bebop,"Action, Adventure, Sci-Fi, Space, Drama",TV,26,8.75,900000,Bounty hunters travel through space while confronting their troubled pasts.
Neon Genesis Evangelion,"Action, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.35,850000,Teenagers pilot giant machines to defend humanity while struggling with psychological and existential conflicts.
Vinland Saga,"Action, Adventure, Historical, Drama",TV,48,8.8,1000000,A young warrior seeks revenge in a brutal Viking world and gradually questions the meaning of violence.
Mob Psycho 100,"Action, Comedy, Supernatural, Psychological",TV,37,8.8,1100000,A powerful psychic teenager tries to live an ordinary life while learning to control his emotions.
One Punch Man,"Action, Comedy, Superhero, Parody, Sci-Fi",TV,24,8.5,1500000,An overwhelmingly powerful hero defeats enemies with one punch and searches for a worthy challenge.
Haikyuu!!,"Sports, Comedy, School, Shounen",TV,85,8.8,1000000,A determined volleyball player joins a high school team and grows through intense competition.
Kuroko's Basketball,"Sports, School, Shounen, Comedy",TV,75,8.2,800000,A talented basketball player joins a high school team and competes against extraordinary rivals.
Your Lie in April,"Drama, Romance, Music, School",TV,22,8.65,900000,A piano prodigy who lost his ability to hear music meets a vibrant violinist who changes his life.
Clannad,"Drama, Romance, School, Slice of Life",TV,23,8.0,800000,A high school student forms meaningful friendships and confronts difficult family and emotional challenges.
Violet Evergarden,"Drama, Fantasy, Romance, Slice of Life",TV,13,8.7,700000,A former soldier learns about love and human emotions while working as a letter writer.
Spirited Away,"Adventure, Drama, Fantasy, Supernatural",Movie,1,8.95,1100000,A young girl enters a mysterious spirit world and must find a way to rescue her transformed parents.
Princess Mononoke,"Action, Adventure, Fantasy, Historical",Movie,1,8.65,600000,A young warrior becomes caught between industrial forces and supernatural guardians of the forest.
Howl's Moving Castle,"Adventure, Drama, Fantasy, Romance",Movie,1,8.65,900000,A young woman cursed with an old body encounters a mysterious wizard and his magical moving castle.
A Silent Voice,"Drama, Romance, School, Psychological",Movie,1,8.9,900000,A former bully seeks redemption and reconnects with a deaf classmate he once mistreated.
Weathering with You,"Drama, Fantasy, Romance, School",Movie,1,8.3,800000,A runaway teenager meets a girl who can mysteriously control the weather.
Your Name,"Drama, Romance, Supernatural, School",Movie,1,8.85,1300000,Two teenagers mysteriously begin swapping bodies and search for each other across time and distance.
Re:Zero,"Adventure, Drama, Fantasy, Psychological, Isekai",TV,50,8.2,1100000,A teenager transported to another world discovers he can return from death and must use that power to protect others.
Sword Art Online,"Action, Adventure, Fantasy, Romance, Isekai",TV,96,7.2,1200000,Players become trapped inside a virtual reality game where dying in the game means dying in reality.
Frieren: Beyond Journey's End,"Adventure, Drama, Fantasy, Magic",TV,28,9.1,800000,An elf mage begins a reflective journey long after defeating a demon king with her former companions.
Monster,"Drama, Mystery, Psychological, Thriller",TV,74,9.0,600000,A brilliant surgeon searches for a former patient who has become a dangerous and mysterious killer.
Parasyte: The Maxim,"Action, Horror, Psychological, Sci-Fi",TV,24,8.3,900000,A teenager forms an uneasy partnership with an alien parasite while fighting other creatures invading humanity.
